eid,subject_areas,publication_year,length_of_abstract,author_keywords,sub_type,citation_count,refcount
2-s2.0-85128088236,MEDI,2021,0,,ch,0,45
2-s2.0-85122493175,PHYS,2021,88,,ar,9,58
2-s2.0-85127926459,AGRI,2021,0,,ar,0,
2-s2.0-85127811920,AGRI,2021,0,,ar,4,
2-s2.0-85126121321,ENGI,2021,212,"8-bit soft microprocessor,FPGA,PicoBlaze,Software development methods,Verification techniques",ar,0,63
2-s2.0-85122623065,MEDI,2021,332,,ar,41,26
2-s2.0-85121871153,BUSI,2021,203,"Business management,Firm size,Logistics awareness,Logistics management,Logistics strategies",ar,0,44
2-s2.0-85100084326,"BUSI,SOCI,ECON",2021,179,Hedging stock return Stock-gold correlations Stock-bond correlations Flight-to-quality Safe haven Crises Covid-19 DCC-GARCH,ar,3,24
2-s2.0-85122008669,"CHEM,CENG",2021,118,,ar,8,56
2-s2.0-85121856655,"PHYS,CHEM",2021,119,,ar,1,60
2-s2.0-85123372703,PHYS,2021,131,,ar,14,63
2-s2.0-85122448584,MEDI,2021,0,"biofilm infections,chronic infection,chronic urinary infection,colistin-resistant,colistin-resistant Klebsiella pneumoniae,Klebsiella pneumoniae,urinary tract infection",ar,3,59
2-s2.0-85121862176,"NEUR,BIOC,AGRI",2021,289,"Escherichia coli,Risk factors,Salmonella enterica,Seafood,Vibrio",ar,6,62
2-s2.0-85122478108,"MEDI,IMMU",2021,129,"COVID-19,maternal immunization,maternal vaccination program,pregnant women,SARS-CoV-2",re,9,95
2-s2.0-85121669392,"CHEM,MATE",2021,240,,ar,11,58
2-s2.0-85145242195,MEDI,2021,161,"Aging,Antiretroviral therapy,Complication,HIV,Malnutrition",re,0,
2-s2.0-85121721582,"CHEM,CENG,ENGI",2021,153,,ar,11,54
2-s2.0-85121029434,"CENG,CHEM,BIOC",2021,84,,ar,8,26
2-s2.0-85122210542,"MEDI,BIOC",2021,281,"deep attentive neural network,large cohort evaluation,prostate segmentation,qualitative evaluation,quantitative evaluation,volume measurement",ar,4,25
2-s2.0-85125147751,"MATE,PHYS,ENGI,COMP",2021,212,"bioconversion,bioenergy,lignocellulose,nanotechnology,pretreatment",re,10,70
2-s2.0-85120957187,"ENER,ENVI,BUSI,ENGI",2021,333,"Health risk assessment,Life cycle assessment,Occupational exposure,Plastic waste recycling,Thailand",ar,5,58
2-s2.0-85112858700,ENVI,2021,225,"Blue carbon,Carbon pool,Coastal vegetated ecosystem,DOM,Fluorescence,SOM",ar,8,60
2-s2.0-85107143998,"PHAR,NEUR",2021,132,"Major Depressive Disorder,Pathogenesis,Therapies,Type 2 Diabetes Mellitus",re,17,190
2-s2.0-85105599444,"PHAR,NEUR",2021,286,"Depression,Immune regulatory,Immune system,Inflammation,Major depressive disorder,Mood disorders,Neuroprogression,Neuroscience,Psychiatry",re,19,113
2-s2.0-85122132307,"ARTS,SOCI",2021,251,"Architectural education,ASEAN architects,Free trade for architectural services",ar,0,16
2-s2.0-85122106296,VETE,2021,224,"BALB/c mouse,hepatic granuloma,IFN-γ,IL-10,iNOS,Leishmania martiniquensis,parasite persistence,TNF-α",ar,1,53
2-s2.0-85122004343,MEDI,2021,391,,ar,68,35
2-s2.0-85121026052,EART,2021,157,,le,6,78
2-s2.0-85120583368,"CENG,ENER",2021,194,,ar,10,50
2-s2.0-85123745054,MEDI,2021,243,"DAA treatment,HCV,microelimination,prisoners",ar,2,18
2-s2.0-85122021738,"MATE,PHYS",2021,172,,ar,2,57
2-s2.0-85121645016,MULT,2021,261,"Arterial branching,Lindenmayer system (L-system),Murray’s law,Structural blood vessel",ar,0,32
2-s2.0-85118486327,BIOC,2021,203,"Bone tissue engineering,Hydroxyapatite,Silk fibroin",ar,16,85
2-s2.0-85117688423,BIOC,2021,169,"Amylomaltase,Glycogen debranching enzyme,Large-ring cyclodextrin,Starch",ar,6,38
2-s2.0-85116930939,"MATE,PHYS,CHEM",2021,182,"Cyclodextrin,Inclusion,Molecular dynamics simulation,Scandenin",ar,0,65
2-s2.0-85116059634,"MATE,PHYS,ENGI",2021,232,"Acid chloride reaction,Fluorophenylboronic acid,Glucose sensing,Potentiometry,Surface modification",ar,2,62
2-s2.0-85115750370,"PHAR,ENVI",2021,207,"AnMBR,Hydrophilicity,Membrane fouling,PVDF,Ultrafiltration",ar,11,38
2-s2.0-85115116426,"MATE,CENG",2021,239,"Biomaterial,Bone engineering,EXAFS,Fish bone,Hydroxyapatite",ar,8,58
2-s2.0-85114720598,ENVI,2021,248,"Landscape appreciation,Low impact development (LID),Picturesque aesthetics,San Francisco Bay Area,Stormwater education,Sustainable stormwater management",ar,26,47
2-s2.0-85114025173,"BIOC,ENGI,CHEM",2021,153,"Biochemical analysis,Chemical analysis,Ion concentration polarization,Isotachophoresis,Microfluidic paper-based analytical devices,Preconcentration",re,16,96
2-s2.0-85113535269,"CHEM,ENVI,CENG,ENGI",2021,190,"Aqueous zinc-ion battery,Intercalated anode,Rocking-chair ZIBs,WO3/WC heterogeneous hybrid",ar,29,75
2-s2.0-85111270671,AGRI,2021,193,"Columnaris disease,Dot blotting,Immunohistochemistry,Monoclonal antibody,Western blotting",ar,8,35
2-s2.0-85122185934,"ENVI,EART",2021,195,,cp,1,18
2-s2.0-85120409484,"MEDI,IMMU",2021,157,"adjuvant,germinal centers,IL-6,influenza virus,lipid nanoparticle,SARS-CoV-2,Tfh cell,vaccine",ar,145,86
2-s2.0-85121860773,"SOCI,ENGI",2021,290,"first order reliability method (FORM),mast structure,overhead line equipment (OHLE),reliability,resilience",ar,0,43
