eid,subject_areas,publication_year,length_of_abstract,author_keywords,sub_type,citation_count,refcount
2-s2.0-85077976956,MEDI,2018,0,,ch,1,76
2-s2.0-85060936020,"ENGI,MATE",2018,193,,cp,1,4
2-s2.0-85052201238,"CHEM,CENG,ENGI",2018,152,"Circulating fluidized bed,Computational fluid dynamics,Multiphase flow models,Riser,Sorption enhanced steam methane reforming",ar,21,42
2-s2.0-85051498032,"CHEM,PHYS,MATE",2018,155,"Encapsulation,Fluoroalkylsilane,Natural rubber,Oil/water separation superhydrophobic/superoleophilic mesh",ar,37,45
2-s2.0-85050678366,"CHEM,BIOC,ENVI",2018,238,"acpcPNA,Electrochemical impedance spectroscopy,Mycobacterium tuberculosis,Paper-based electrochemical DNA biosensor",ar,68,55
2-s2.0-85059846549,BUSI,2018,146,"Design of experiment,Optimal fleet size,Outsourcing,Simulation modelling,Transportation contract,Transportation management,Variation",ar,15,20
2-s2.0-85053455291,BIOC,2018,142,"Female,Hyperammonemia,Novel mutations,Ornithine transcarbamylase deficiency,OTC",ar,13,20
2-s2.0-85078621193,MEDI,2018,0,,ch,0,111
2-s2.0-85061529820,"DECI,ENGI,COMP",2018,196,"Attention mechanism,Bi-directional GRU,criminal law,Deep Learning,predicting judgement,Thai Supreme Court",cp,24,20
2-s2.0-85058878790,"MATE,PHYS,CHEM",2018,203,,ar,3,36
2-s2.0-85053749794,"CHEM,PHYS,MATE",2018,95,"Anodization,Ti–Zr alloy,Wear resistance",ar,17,43
2-s2.0-85060970184,"COMP,DECI",2018,152,"Classification,Data preparation,Disease,ICD-10-CM,Symptom,Text mining",cp,4,19
2-s2.0-85061895439,COMP,2018,147,"AISAS model,Feature selection,SMOTE",cp,0,11
2-s2.0-85059849496,"PHYS,EART",2018,265,"galaxies: evolution,galaxies: formation,galaxies: general",ar,16,126
2-s2.0-85059562771,"ENVI,EART",2018,206,,cp,1,9
2-s2.0-85059516216,AGRI,2018,59,"Apocynaceae,Asclepiadoideae,Eastern thailand,Open sandy area",ar,6,20
