eid,subject_areas,publication_year,length_of_abstract,author_keywords,sub_type,citation_count,refcount
2-s2.0-85078108379,"NURS,SOCI",2019,260,"Delphi method,nursing,research priorities,Vietnam",ar,5,29
2-s2.0-85097210623,MEDI,2019,429,"Greater trochanter,Ischial tuberosity,Localisation,Piriformis muscle,Posterior superior iliac spine,Sciatic nerve",ar,1,34
2-s2.0-85078854997,BIOC,2019,0,,ed,0,7
2-s2.0-85078201825,BIOC,2019,242,"breast-conserving surgery,mastectomy,retrospective study",ar,1,16
2-s2.0-85078139291,BIOC,2019,266,"foot deformities,fracture,hip dysplasia,incidence,newborn",ar,2,19
2-s2.0-85078136559,BIOC,2019,244,"balloon occlusion,postpartum hemorrhage,uterine artery ligation,uterine compression suture",ar,2,22
2-s2.0-85078120406,BIOC,2019,234,"dural inflammation,dural thickening,hypertrophic pachymeningitis,idiopathic hypertrophic pachymeningitis,thickened dura",ar,2,14
2-s2.0-85077258483,AGRI,2019,293,"Isoflavones,Miroestrol,Pueraria candollei var. mirifica,Transcriptome,White Kwao Krua",ar,13,56
2-s2.0-85076538010,"CHEM,CENG,ENGI",2019,158,,ar,6,32
2-s2.0-85090234975,COMP,2019,151,"back propagation,cutting force ratio,neural networks,straightness,surface roughness",cp,0,18
2-s2.0-85079061595,"ENVI,IMMU,MEDI",2019,251,"Degradation kinetic,Enrichment culture,Next generation sequencing,Swine farm,Tiamulin (TIA),Veterinary antibiotic substance",ar,6,49
2-s2.0-85077156473,SOCI,2019,329,"Core competency,Health human resource,Health professional education,Residency training",ar,7,26
2-s2.0-85082519384,COMP,2019,114,"Formal Verification,Hierarchical Timed Coloured Petri Nets,Petri Nets,Railway Network Model",cp,2,9
2-s2.0-85082508161,COMP,2019,116,"Conditional Random Fields,Jaccard Similarity,Natural Language Processing,Text Similarity,Unstructured Text",cp,0,8
2-s2.0-85077391071,PHYS,2019,196,,ar,41,65
2-s2.0-85076952339,MEDI,2019,55,,ar,28,41
2-s2.0-85078788285,BIOC,2019,222,"attention deficit disorder with hyperactivity,disruptive behavior,parental anxiety",ar,0,26
2-s2.0-85078172194,BIOC,2019,0,,ed,0,7
2-s2.0-85078139162,BIOC,2019,214,"Escherichia coli,nanomedicine,nanoparticles,proteomics,Staphylococcus aureus",ar,7,45
2-s2.0-85078119559,BIOC,2019,276,"prognostic,survival,uterine cervical neoplasms",ar,0,24
2-s2.0-85078111250,BIOC,2019,167,"macrodactyly,mutation,PIK3CA",ar,0,15
2-s2.0-85078109844,BIOC,2019,0,,ed,0,9
2-s2.0-85077085511,"ENER,MATH,ENGI",2019,146,"Aqueous electrolyte,Binder free,Carbon cloth,Nanofiber,Vanadium oxide,Zinc trifluoromethanesulfonate,Zinc-ion battery",ar,31,41
2-s2.0-85077050811,MEDI,2019,322,"cytomegalovirus,randomized clinical trial,uveitis",ar,6,34
2-s2.0-85077395426,PHYS,2019,164,,ar,15,43
2-s2.0-85074874488,NEUR,2019,230,"asiatic acid,asiaticoside,neuritogenicity,TrkA receptor",ar,3,24
2-s2.0-85077823120,PHYS,2019,231,,cp,0,5
2-s2.0-85077821220,PHYS,2019,71,,cp,0,20
2-s2.0-85077820495,PHYS,2019,219,,cp,0,6
2-s2.0-85077820406,PHYS,2019,118,,cp,0,8
2-s2.0-85077820378,PHYS,2019,128,,cp,1,41
2-s2.0-85077819130,PHYS,2019,261,,cp,2,10
2-s2.0-85077817274,PHYS,2019,250,,cp,0,5
2-s2.0-85077816578,PHYS,2019,123,,cp,0,19
2-s2.0-85077816228,PHYS,2019,154,,cp,0,15
2-s2.0-85077813551,PHYS,2019,169,,cp,0,9
2-s2.0-85077813242,PHYS,2019,148,,cp,0,6
2-s2.0-85077813058,PHYS,2019,158,,cp,0,13
2-s2.0-85077084700,"MEDI,IMMU",2019,298,"Biomarker,Cytokines,Disease activity,Interleukin,Systemic lupus erythematosus",ar,35,41
2-s2.0-85076699514,MEDI,2019,304,"Basic and comprehensive emergency obstetric and newborn care,Maternal health,Newborn care",ar,6,27
2-s2.0-85076675424,MEDI,2019,384,"Accessibility to health services,catastrophic health expenditure,Community-Based Health Insurance,financial protection,health policy,health services,hospitalisation,Laos People's Democratic Republic,National Health Insurance",ar,5,42
2-s2.0-85077774167,"MATH,BIOC,COMP",2019,170,,ar,7,11
2-s2.0-85075465498,EART,2019,154,"Filler,Halloysite nanotube,Mechanical properties,Rubber",re,24,86
2-s2.0-85074853228,MEDI,2019,212,"early treated,HIV,infants,neonates,newborns,viral load,viral suppression",ar,7,40
2-s2.0-85074741775,MEDI,2019,259,"adolescent,HIV,loss to follow-up",ar,2,17
2-s2.0-85074189829,"NEUR,MEDI",2019,123,"Facial myokymia,Hemifacial spasm,Red flags,The Babinski-2 sign,Tonic spasms of facial muscles",le,4,16
2-s2.0-85072727708,ENVI,2019,271,"Cadmium,Copper,Electronic waste dismantling,Hazard quotient,Inhalation exposure,Lead,Lifetime cancer risk,Nickel",ar,28,36
2-s2.0-85072370532,"ENGI,MATH,ENER,ENVI",2019,195,"Biodiesel,Metallic iron conversion,Microalgae Chlorella sp.,municipal sewage,Seaweed Sargassum",ar,39,68
2-s2.0-85070939714,"CENG,ENVI",2019,156,"Bidentate carbonate,CO2activation,Mesoporous La2O3,Metal support interface,Monodentate carbonate",ar,81,72
2-s2.0-85070887862,"CENG,ENVI",2019,156,"Charge shuttle,g-C3N4,Heterogeneous structural defects,Hydrogen production,Photocatalyst",ar,83,39
