eid,subject_areas,publication_year,length_of_abstract,author_keywords,sub_type,citation_count,refcount
2-s2.0-85092259283,PHYS,2020,100,"Bose-Einstein condensates,Breathers,Matter waves,Nonlinear waves",ar,6,40
2-s2.0-85090414767,"PHYS,MATE",2020,207,"Ball milling,Graphite nanosheets,Hybrids,MnO2,Volume change,Zinc ion battery",ar,67,74
2-s2.0-85089801467,"ENGI,MATE",2020,145,"Carbon nitride,Doping,Hydrogen evolution,Nanosheet,Photocatalyst",ar,11,44
2-s2.0-85089658682,"ENGI,MATE",2020,202,"Alloys,High pressure,Metal hydride compounds,Mg/Ca,Near-room-temperature critical temperature,Superconductivity",ar,33,31
2-s2.0-85099373324,MEDI,2020,194,"Apoptosis,Autophagy,Autophagy related protein 9A,HBx,Hepatitis B virus,Hepatocellular carcinoma",ar,1,7
2-s2.0-85099249028,"MATE,ENGI",2020,125,,cp,0,8
2-s2.0-85099228918,"MATE,ENGI",2020,0,,ed,0,
2-s2.0-85099175285,"MATE,ENGI",2020,221,,cp,1,22
2-s2.0-85099127391,"MATE,ENGI",2020,197,,cp,0,27
2-s2.0-85099118774,"MATE,ENGI",2020,197,,cp,3,21
2-s2.0-85098074752,MEDI,2020,242,,ar,18,35
2-s2.0-85097796061,"CHEM,MATE",2020,266,,ar,23,48
2-s2.0-85098137762,"ENGI,MATH,CENG",2020,305,,ar,13,53
2-s2.0-85097884723,CHEM,2020,96,,ar,11,84
2-s2.0-85089493654,"ENER,ENVI,BUSI,ENGI",2020,215,"Cellulose nanofibers,High-pressure homogenizer,Mechanical defibrillation,Microfluidizer,Steam explosion,Sugarcane bagasse waste",ar,38,69
2-s2.0-85085542415,"PHAR,NEUR",2020,173,"Chronic fatigue syndrome,Circadian,Endogenous opioidergic system,Gut microbiome,Immune,Mitochondria,Pathophysiology,Treatment,Vagus nerve,Viral re-awakening",re,30,266
2-s2.0-85099115706,MEDI,2020,241,"chronic obstructive pulmonary disease,forward lean,optoelectronic plethysmography,pursed-lip breathing",ar,4,30
2-s2.0-85099076665,BIOC,2020,235,"alpha satellite,centromere,evolution,heterochromatin,non-human primates,tandem repeats",re,23,
2-s2.0-85096524596,BIOC,2020,218,,ar,8,48
2-s2.0-85099229822,COMP,2020,235,"5-Dimensional World Map System,Coral Analysis,Environmental Data Mining,Global Environmental Analysis,Semantic Computing,SPA",cp,2,26
2-s2.0-85099189130,COMP,2020,238,"Artificial intelligent,Semantic computation,Semantic space,Unmanned control",cp,2,20
2-s2.0-85098008677,"ENVI,EART",2020,308,,cp,0,8
2-s2.0-85096172220,"BIOC,PHAR,CHEM",2020,157,"CD4,Cell-surface protein,Fused pyridines,HIV,Signal peptide,Translocation inhibitors",ar,5,125
2-s2.0-85096152362,MEDI,2020,272,"adolescent,HIV,human papillomavirus,incidence,perinatal,persistence",cp,2,31
2-s2.0-85094146561,ENER,2020,193,"Bio-methanol,Gasification,Oil palm residues,Thermodynamic analysis",ar,19,35
2-s2.0-85092614541,"BUSI,ECON",2020,216,"Audit partner,Busyness,Cost of debt,Specialization",ar,2,65
2-s2.0-85092126813,"BIOC,ECON,ENER",2020,194,"Anticancer drug,Carboxymethyl cellulose,Controlled drug release,Electrically stimuli",ar,20,63
2-s2.0-85089597367,"SOCI,COMP",2020,444,Case study,ar,3,30
2-s2.0-85087907671,"CHEM,ENVI,CENG,ENGI",2020,157,"Chemical adsorption,CO2 adsorption,Natural rubber foam,Physical adsorption",ar,6,37
2-s2.0-85097750927,"CHEM,ENVI,CENG,ENER",2020,129,"colloidal stability,copper,gold,matrix sputtering,metal nanoparticles,oleic acid,oleylamine,oxidation suppression",ar,13,49
2-s2.0-85098112502,PSYC,2020,205,"continuance intention,expectation-confirmation theory,food safety,social media,technology acceptance model,technology readiness",ar,13,75
2-s2.0-85096649930,"MATE,CENG,CHEM",2020,188,"3D printing,shape memory,thixotropic rheology,tough epoxy,tunable properties",ar,23,38
2-s2.0-85117450536,"BUSI,COMP,MEDI,SOCI",2020,283,"agile,balance transformation,new product development,stage-gate,startup",cp,0,11
2-s2.0-85100018178,"COMP,DECI",2020,175,"DSS,Evaluating investment,LCCM,LCOE,Power Plant",cp,0,18
2-s2.0-85098720639,PHYS,2020,180,"CMS,Physics,Vector boson scattering",ar,28,50
2-s2.0-85098285100,"PHYS,EART",2020,238,,ar,42,160
2-s2.0-85098267283,"PHYS,EART",2020,162,,ar,85,47
2-s2.0-85088139410,"ENGI,MATE",2020,279,"Compressive strength,Concrete,Confinement,Confinement model,Cotton,Deformability,Fiber Reinforced Polymers,FRRP,Hemp,Polyester, Rope",ar,26,58
2-s2.0-85098010041,"ENVI,EART",2020,146,"Contingent Valuation Method,Flood Insurance,Sakon Nakhon,Thailand,Willingness to Pay",cp,2,17
2-s2.0-85102977899,"ENGI,SOCI",2020,186,"Engineering education in Thailand,New normal instructional design,Raspberry Pi ecology",cp,2,15
2-s2.0-85098251241,PHYS,2020,224,,ar,34,55
2-s2.0-85098079502,EART,2020,223,"Cenozoic basin,Phetchabun Basin,structural restoration,Thailand,Wichianburi Sub-basin",ar,2,24
2-s2.0-85092526437,"PHYS,MATE,CHEM",2020,181,"Beta-thiopropanamide,Breast cancer,Cytotoxicity,Doxorubicin,Nanoparticles,Selectivity index",ar,5,39
2-s2.0-85087364284,ENVI,2020,202,"Acclimatization,Bacterial inoculum,Benzothiazoles,Biodegradation,Wastewater treatment",ar,10,53
2-s2.0-85097777498,AGRI,2020,193,"calcium,calmodulin,CAMTA,development,stress,transcription factor",re,37,174
2-s2.0-85097761240,"NEUR,MEDI",2020,354,"dysmorphic,injustice,orofacial pain,stress,well-being",ar,4,83
2-s2.0-85097754956,VETE,2020,288,"degenerative mitral valve disease,hyperplasia,pulmonary artery,pulmonary hypertension,serotonin,smooth muscle cells",ar,3,71
2-s2.0-85096600433,"CHEM,MATE",2020,203,,ar,30,65
2-s2.0-85095823833,"BIOC,IMMU,VETE,MEDI",2020,268,"Booster,Pertussis,Pharmacovigilance,Post-licensure,Pregnancy,Recombinant,Safety",ar,7,50
2-s2.0-85107123213,"ENER,MATH,ENGI",2020,182,"Cyclopentane,Formation,Hydrate,Methane,Promoter,TBAB",ar,5,35
2-s2.0-85097680002,"ENVI,MEDI",2020,254,"Adolescent,Bangladesh,Exclusive breastfeeding",ar,3,46
2-s2.0-85097336396,"ENVI,EART",2020,128,,cp,0,30
2-s2.0-85097315678,"NEUR,BIOC,AGRI",2020,243,"Adhesin genes,Antimicrobial resistance,Biofilm,Phylogenetic group,Uropathogenic Escherichia coli",ar,18,46
2-s2.0-85095697271,"BIOC,ENGI,MEDI",2020,195,"Kinematics,Kinetics,Mechanical work,Movement time,Standing up",ar,1,20
2-s2.0-85132483734,MEDI,2020,214,"Acute respiratory distress syndrome,Circulating bacteriome,COVID-19,Critically ill,Endotoxemia,Sepsis",ar,54,45
2-s2.0-85111945531,MEDI,2020,206,"Depression,IL-17,Inflammation,Neuro-immune,Obesity",ar,8,55
2-s2.0-85107909416,"AGRI,IMMU,SOCI,HEAL",2020,232,"Bile acid binding,Cholesterol micellization,Muffin,Physicochemical properties,RD43 rice,Starch digestibility",ar,10,46
