eid,subject_areas,publication_year,length_of_abstract,author_keywords,sub_type,citation_count,refcount
2-s2.0-85142488598,"BIOC,CENG,ENVI,ENGI",2022,164,"Biofilm,Chlorococcum,Microalgae,Photobioreactor,Surfactant",ar,1,44
2-s2.0-85142171369,BIOC,2022,201,"Anthocyanins,Cyanidin,Cytotoxicity,Insulin fibrils,Malvidin",ar,2,39
2-s2.0-85141987118,BIOC,2022,200,"Metformin,Transdermal drug delivery,κ-Carrageenan",ar,5,51
2-s2.0-85140027804,"CHEM,CENG,ENGI",2022,196,"Amine blends,Catalytic CO2 desorption,CO2 absorption,CO2 capture,Equilibrium CO2 solubility",ar,7,50
2-s2.0-85144072812,"PHYS,MATE",2022,183,"Electrocatalysis,High-throughput screening,Nitrogen reduction reaction,Single-atom catalysts,Tungsten diboride",ar,1,65
2-s2.0-85118901598,"ENER,PHYS",2022,209,"Electrodeposition,HER,Ni–Mn–P catalyst,Polyvalent manganese,Small coral-like structures",ar,1,55
2-s2.0-85118722833,"ENER,PHYS",2022,205,"COVID-19 pandemic,Gasification,Hydrogen production,Plastic waste,Pyrolysis",ar,13,141
2-s2.0-85116427136,"ENER,PHYS",2022,189,"Hydrogen oxidation,Membrane electrode assembly,Non-platinum catalyst,Oxygen reduction,Platinum catalyst,Proton exchange membrane",ar,13,172
2-s2.0-85146519653,ENGI,2022,175,"Gradient-less recycle reactor,heat transfer,high-throughput experimentation,intrinsic kinetics,mass transfer,packed bed reactor",re,0,110
2-s2.0-85142778727,SOCI,2022,0,,ch,0,23
2-s2.0-85142912889,"HEAL,MEDI",2022,0,,ch,0,167
2-s2.0-85147587083,MEDI,2022,280,,re,4,54
2-s2.0-85147045157,"MEDI,IMMU",2022,197,"complete genome sequencing,coxsackievirus A6,evolution,genetic recombination,hand, foot, and mouth disease",ar,1,
2-s2.0-85144302232,"MATE,ENGI,PHYS",2022,202,"built-in electric field,catalysis mechanism,energy electrocatalysis,heterointerface,hydrogen evolution reaction,oxygen vacancy,rechargeable metal batteries,work function",re,25,217
2-s2.0-85106974284,MEDI,2022,248,"atherogenicity,inflammation,major depression,neuroimmune,oxidative stress,Unstable angina",ar,7,97
2-s2.0-85145689875,VETE,2022,220,"curcuminoids,diabetes mellitus,inflammation,oxidative stress,proteomic",ar,1,60
2-s2.0-85144517611,SOCI,2022,162,"attractiveness,expertise,purchase intentions,source credibility,trustworthiness",ar,1,56
2-s2.0-85146140407,SOCI,2022,0,,ch,0,
2-s2.0-85144733338,SOCI,2022,256,"banking digitalization,informal remittance,Myanmar migrant workers in Thailand,Thailand-Myanmar border trade",ar,1,53
2-s2.0-85145507224,EART,2022,191,"biomarker,carbon storage,Khorat Plateau,shale gas,source rock",ar,1,64
2-s2.0-85141778693,"ENER,ENVI,BUSI,ENGI",2022,293,"Leachate,Microplastics,Open dumping,Sanitary landfill,Treatment system",ar,7,53
2-s2.0-85149725104,COMP,2022,211,"Android applications,Senior citizens,Usability,User interface design",cp,0,11
2-s2.0-85147171569,"CHEM,CENG,ENGI",2022,206,,ar,0,53
2-s2.0-85133691726,"ENER,PHYS",2022,134,"Biogas,Carbon nanotubes,CO2 methanation,Hydrogen,Integrative process",ar,2,88
2-s2.0-85128906258,"ENER,PHYS",2022,153,"Biogas,Dry reforming,Partial oxidation,Syngas",ar,2,31
2-s2.0-85145388556,"NEUR,MEDI",2022,260,"epilepsy,nuclear medicine,PET,presurgical localization,radiopharmaceuticals,SPECT,techniques",re,0,167
2-s2.0-85145345425,"MEDI,IMMU",2022,331,"autoimmune,cGAS,dsDNA,inflammasomes,lupus,macrophages,non-canonical,STING",ar,0,62
2-s2.0-85144269606,PHYS,2022,124,,ar,1,53
2-s2.0-85143644724,"MEDI,NEUR",2022,351,"Inner retinal thickness,Posterior pole asymmetry,Reference database,Retinal thickness",ar,1,40
2-s2.0-85141579442,"PHYS,ENGI",2022,225,"Dementia (DEM),gait,inertial measurement unit (IMU),mild cognitive impairment (MCI),wearable device",ar,0,42
2-s2.0-85139864010,ENGI,2022,218,"Deep learning,Failure analysis,Machine learning,Semi-rigid steel connection,Tree-based ensemble method",ar,2,65
2-s2.0-85139727233,"ENER,CHEM,ENGI",2022,196,"Anode,Carbon deposition,Internal methane reforming,Ni/YSZ,Solid oxide fuel cell",ar,2,16
2-s2.0-85139298910,"CHEM,CENG",2022,167,"13C NMR,Kinetics model,pKa,Steric hindrance,Zwitterion mechanism",ar,5,38
2-s2.0-85135709983,"CENG,ENER,CHEM",2022,137,"Electrocatalyst,Electrodeposition,HER,NiW alloy,Twin boundaries",ar,2,64
2-s2.0-85140115477,"MATE,PHYS,ENGI",2022,168,"Biomaterial,Coating,Electrochemical synthesis,Microstructure,Nanostructure",ar,0,55
2-s2.0-85145036397,"PHAR,MEDI",2022,223,"C. elegans,decanoic acid,dopaminergic neurons,Holothuria leucospilota,Parkinson’s disease,α-synuclein",ar,5,49
2-s2.0-85143385251,"CHEM,CENG",2022,293,,ar,0,48
2-s2.0-85143538977,"CENG,MATE",2022,168,,ar,3,41
2-s2.0-85141094475,"MATH,ENGI,PHYS",2022,213,"Asia,drought communication,drought information,social network analysis,vulnerability",ar,2,70
2-s2.0-85144207105,PHYS,2022,181,"2HDM,BSM,CMS,Higgs",ar,2,60
2-s2.0-85142739716,"BIOC,CENG,IMMU",2022,234,"BCG economy,Bioremediation,Microalgae,Mixed microalgal-bacterial consortium,Waste recovery,Wastewater treatment",re,1,103
2-s2.0-85142170307,PHYS,2022,101,,ar,0,27
2-s2.0-85140710501,"CENG,CHEM",2022,140,"Electrocatalyst,Hydrogen evolution reaction,Metal catalyst,Nickel nanoparticles,Water splitting",ar,6,55
2-s2.0-85140453259,"CENG,CHEM",2022,224,"Flexible battery,Gel polymer electrolyte,Hydrogen bound,Manganese oxide,X-ray tomography",ar,9,39
2-s2.0-85139112681,PHYS,2022,154,"Bottomonium,CMS,Heavy ion collisions,Quark-gluon plasma,Quarkonium suppression",ar,2,65
2-s2.0-85138520233,"ENGI,MATE",2022,261,"Computational hydrogen electrode,Defect surface,Density functional theory,Manganese dioxide electrocatalysts,ORR",ar,3,60
2-s2.0-85165557992,"CHEM,BIOC,PHAR,MEDI",2022,196,"Biopharmaceuticals,diagnostics,molecular farming,plant biotechnology,recombinant proteins,transient expression",re,1,71
2-s2.0-85145855486,"PHYS,CHEM",2022,157,,ar,1,35
2-s2.0-85144947421,PSYC,2022,255,"emotional intelligence,nurse,physical activity,regulatory emotional self-efficacy,resilience",ar,2,52
2-s2.0-85144199639,"CHEM,CENG",2022,188,,ar,2,58
2-s2.0-85130312035,MEDI,2022,0,,no,0,
2-s2.0-85160753218,"CHEM,PHYS",2022,0,,ch,0,138
2-s2.0-85144327176,"BIOC,CENG,MEDI,ENGI",2022,287,"1,3-dioxolane,environmentally friendly solvent,green solvent,poly(3-hydroxybutyrate),recovery,scale-up",ar,2,37
2-s2.0-85145060380,VETE,2022,271,"animal welfare,Asia,chickens,egg,hens,production",ar,0,40
2-s2.0-85142816750,"ECON,BUSI,SOCI",2022,0,,ch,0,23
2-s2.0-85141854292,MATH,2022,76,"Belt,Dihedral adjacent wheel,Multiple tiling,Parallelohedron,Zonotope",ar,0,36
2-s2.0-85160727492,"CENG,CHEM",2022,98,"cetyltrimethylammonium bromide,guanidines,in water,phenazine ethosulfate,photocatalyst",ar,0,57
2-s2.0-85144163115,AGRI,2022,232,"asthma,immunoglobulin E,monoclonal antibody,recombinant proteins,respiratory ailments,transient expression",ar,2,63
2-s2.0-85144095096,"ENVI,AGRI",2022,246,"community resilience,community-based agritourism,rural livelihood diversification,sustainable local food systems,sustainable rural development",ar,0,45
2-s2.0-85143379958,"AGRI,BIOC,MEDI",2022,208,,ar,0,53
2-s2.0-85141590781,"CHEM,BIOC",2022,208,"BABAM1,DNA damage response,glioblastoma,mTORC2,phosphoproteomics",ar,2,33
2-s2.0-85123385715,"NEUR,MEDI",2022,74,"Anniversary,Asia Pacific Stroke Organization,Education,Research,Stroke,Systems of care",re,0,59
2-s2.0-85169901609,"ARTS,SOCI",2022,148,,ar,0,85
2-s2.0-85167415162,BIOC,2022,293,"collagen crosslinking,corneal ectasia,intracorneal ring,keratoconus,refractive surgery",ar,0,38
2-s2.0-85165244834,MEDI,2022,354,"Antiretroviral therapy initiation,Community-based service,HIV,Implementation research,Key population,Men who have sex with men,Telehealth,Transgender women",ar,0,36
2-s2.0-85163700192,MEDI,2022,427,"chronic kidney disease,nonalcoholic fatty liver disease,urinary neutrophil gelatinase-associated lipocalin",ar,0,24
2-s2.0-85163596834,MEDI,2022,177,"aging,fatty liver,MAFLD,NAFLD,older adults",re,0,48
2-s2.0-85163363267,"COMP,ENGI",2022,224,"Brand Image,Environmental activities,Environmental, Social, and Governance (ESG),Purchase Intention,SEM,Thailand",ar,0,45
2-s2.0-85163310717,"ENVI,AGRI,ENGI",2022,246,"Brand Trust,Customer Engagement,Environmental Social and Governance (ESG),Thailand",ar,4,61
2-s2.0-85162471510,"MEDI,ENGI",2022,163,"Microphysiological system,Nerve,Osteoarthritis,Pain,Pain mediators,Tissue chip",re,0,97
2-s2.0-85159663856,"MATE,ENER",2022,253,"Adsorbent,Adsorption,Carbon capture,Fly ash,Sugarcane bagasse",ar,0,40
2-s2.0-85159160000,"COMP,DECI,MATH",2022,81,"Deteriorating Items,Inventory control,Permissible Delay in payments,Time-Dependent Demand",ar,0,27
2-s2.0-85153093669,SOCI,2022,157,"non-signatory state,policy entrepreneurship,refugee law,refugee screening mechanism,Thailand",ar,0,40
2-s2.0-85152932092,VETE,2022,196,"asian tiger mosquito,bacteria,chikungunya virus,microbiome,vector competence",ar,0,42
2-s2.0-85152894992,VETE,2022,240,"dairy cow,melatonin,pregnancy rate,season",ar,0,33
2-s2.0-85151577765,"AGRI,IMMU",2022,258,"Antagonistic bacterium,Dietary supplementation,Disease resistance,Immune gene expression,Non-specific immunity,Yellowtail catfish",ar,1,61
2-s2.0-85151540671,"SOCI,PHYS,EART",2022,176,"Classification,Convolution Neural Networks,Mobile Mapping System,Point Cloud",ar,0,36
2-s2.0-85150926146,MEDI,2022,204,"children,drug-resistant tuberculosis,fluoroquinolone,isoniazid-monoresistant tuberculosis (Hr-TB),multidrug-resistant tuberculosis (MDR-TB),pre-extensively drug-resistant tuberculosis (pre-XDR-TB),rifampicin-monoresistant tuberculosis (Rr-TB)",ar,1,26
2-s2.0-85150677559,COMP,2022,174,"CCS Concepts,Physical simulation,• Computing methodologies → Neural networks",ar,0,57
